SRA_run_accession,ZfPV,zpico,zpoxv,Any
SRR5120131,False,False,False,False
ERR1122679,False,False,False,False
SRR11303169,False,False,False,False
ERR1408780,False,False,False,False
SRR12661630,False,False,False,False
ERR959307,False,False,False,False
ERR1857926,False,False,False,False
ERR1730553,False,False,False,False
SRR14428584,False,False,False,False
ERR1426767,False,False,False,False
SRR13716311,False,False,False,False
ERR1857623,False,False,False,False
ERR1621470,False,False,False,False
ERR1251963,False,False,False,False
ERR1215988,False,False,False,False
ERR1373595,False,False,False,False
ERR1889385,False,False,False,False
SRR516134,False,False,True,True
ERR853670,False,False,False,False
SRR1821843,False,False,True,True
SRR8788685,False,False,False,False
SRR10863059,False,False,False,False
SRR7268929,False,False,False,False
ERR1889692,False,False,False,False
SRR20746137,False,True,False,True
SRR13724941,False,False,False,False
ERR667482,False,False,False,False
ERR999418,False,False,False,False
SRR6250357,False,False,False,False
SRR519743,False,False,False,False
SRR18516705,False,False,False,False
ERR1216527,False,False,False,False
ERR1442853,False,False,False,False
ERR1124735,False,False,False,False
ERR582901,False,False,False,False
SRR1871880,False,False,False,False
ERR738259,False,False,False,False
SRR2127900,False,False,False,False
SRR6655325,False,False,False,False
ERR716704,False,False,False,False
ERR999273,False,False,False,False
ERR2723882,False,False,False,False
ERR780049,False,False,False,False
SRR12070790,False,False,False,False
SRR594769,False,False,False,False
ERR780296,False,False,False,False
ERR853685,False,False,False,False
SRR9674296,False,False,False,False
SRR18927016,False,True,False,True
SRR10550535,True,False,False,True
SRR16195488,False,False,False,False
ERR1475552,False,False,False,False
SRR11365199,False,False,False,False
SRR12998954,False,False,False,False
SRR10070845,False,False,False,False
SRR8305637,False,False,False,False
DRR189390,False,True,False,True
SRR12661595,False,False,False,False
SRR14213385,True,False,False,True
SRR10735812,False,False,False,False
ERR959802,False,False,False,False
ERR1408822,False,False,False,False
ERR959353,False,False,False,False
ERR1373384,False,False,False,False
ERR1216454,False,False,False,False
SRR1062298,False,False,False,False
SRR10136109,False,False,False,False
ERR1888988,False,False,False,False
SRR10126093,False,False,False,False
ERR853486,False,False,False,False
SRR6469780,False,False,False,False
SRR3231323,False,False,False,False
ERR958908,False,False,False,False
SRR10151798,False,False,False,False
SRR8928840,False,False,False,False
ERR1205267,False,False,False,False
ERR1889093,False,False,False,False
SRR870749,False,False,False,False
ERR1108049,False,False,False,False
ERR1757556,False,False,False,False
ERR998220,False,False,False,False
SRR6250210,False,False,False,False
SRR6468809,False,False,False,False
