SRA_run_accession,ZfPV,zpico,zpoxv
ERR1107987,UND,UND,UND
SRR4375305,UND,UND,UND
SRR6890858,UND,UND,UND
SRR11590416,UND,UND,UND
ERR1124465,UND,UND,UND
SRR8106429,UND,UND,UND
ERR667412,UND,UND,UND
ERR1816517,UND,UND,UND
SRR5482149,UND,Low,UND
SRR2750985,Low,UND,UND
ERR202602,UND,UND,UND
SRR17085052,UND,UND,UND
ERR232310,UND,UND,UND
SRR8441462,UND,UND,UND
ERR3838753,UND,UND,UND
SRR7264568,High,UND,UND
SRR4241543,UND,UND,UND
SRR11302957,UND,UND,UND
SRR6469449,UND,UND,UND
SRR11519041,UND,UND,UND
SRR1872655,UND,UND,UND
ERR1891643,UND,UND,UND
SRR21758108,UND,UND,UND
SRR19364716,Low,UND,UND
SRR18220755,UND,UND,UND
SRR8787624,UND,UND,UND
ERR1124581,UND,UND,UND
SRR9189639,UND,UND,UND
ERR960285,UND,UND,UND
SRR6655608,UND,UND,UND
ERR1426875,UND,UND,UND
SRR21228028,UND,UND,UND
SRR10151585,UND,UND,UND
SRR9697466,UND,UND,UND
SRR8106647,UND,UND,UND
SRR11302796,UND,UND,UND
ERR1821576,UND,UND,UND
SRR13234633,UND,UND,UND
SRR7264596,High,UND,UND
ERR8516972,UND,UND,UND
ERR517858,UND,UND,UND
SRR7008284,UND,UND,UND
ERR1216550,UND,UND,UND
ERR1889419,UND,UND,UND
SRR6327872,UND,High,UND
