SRA_run_accession,count
SRR3666778,587134
ERR1373770,32516
SRR13088290,1348871
SRR8883739,16154
SRR1872323,54
ERR853648,42022
SRR8106462,42750
SRR5342782,609296
SRR15831093,269582
SRR6250234,111176
SRR10040063,1052282
ERR10368636,405078
ERR2723189,23832
SRR11033799,39014
ERR596654,28542
ERR1888316,99488
ERR1415163,184
SRR6654358,43304
SRR6654602,32372
SRR3342393,243126
SRR15813437,320342
SRR1062548,32469
SRR3228697,31474
ERR925749,68508
SRR11303296,1166
ERR569542,1442
ERR2723564,89754
SRR16298952,20889
SRR13565167,210842
SRR6469814,118182
SRR8106496,22558
SRR15048129,725884
ERR999320,37446
ERR1407560,282
SRR1062347,119706
SRR6469627,87558
ERR959653,11564
SRR9044115,82552
ERR2723287,1424756
SRR1872084,33796
SRR7410425,112424
ERR1888742,64916
SRR7223671,360662
SRR8106338,285716
SRR11302754,119
SRR11303216,131
SRR9198735,15506
ERR7131132,691465
SRR5398234,21675
SRR1872663,9524
ERR582903,1734
ERR1757490,20448
SRR8106384,10574
SRR11590423,148027
SRR8552548,85666
SRR19086722,54408
SRR10010344,116396
SRR12443344,1341982
SRR10887481,271420
ERR1888810,66792
SRR7662052,13899
SRR5931556,150533
ERR1374718,88046
SRR15204102,168451
SRR6469237,77846
SRR6072798,245901
ERR1621553,51570
ERR2723927,109374
ERR1889095,454566
SRR16299056,25684
ERR1889419,49028
ERR1415011,52164
ERR1374491,7674
ERR1888248,59136
SRR7613109,316598
ERR716790,181170
ERR959164,59230
SRR11302781,82
SRR12356840,263856
SRR13938396,94002
SRR6890859,132514
SRR7410421,222036
ERR1889844,147114
SRR12464113,245414
SRR6655046,10550
SRR11303337,97
ERR1216946,715640
ERR1888692,192666
SRR6468889,121826
SRR1872121,19064
SRR10151822,149060
SRR11303300,154
SRR15831107,257266
SRR13297049,556280
ERR1821536,23014
SRR8106698,18886
ERR1730583,22580
SRR11302418,166
SRR10070604,68082
ERR1204602,112264
ERR1426841,224452
SRR11302663,54
